T0.A.S31.L001,T0.B.S32.L001,T0.C.S33.L001,T1.A.S34.L001,T1.B.S35.L001,T1.C.S36.L001,T10.A.S61.L001,T10.B.S62.L001,T10.C.S63.L001,T11.A.S64.L001,T11.B.S65.L001,T11.C.S66.L001,T2.A.S37.L001,T2.B.S38.L001,T2.C.S39.L001,T3.A.S40.L001,T3.B.S41.L001,T3.C.S42.L001,T4.A.S43.L001,T4.B.S44.L001,T4.C.S45.L001,T5.A.S46.L001,T5.B.S47.L001,T5.C.S48.L001,T6.A.S49.L001,T6.B.S50.L001,T6.C.S51.L001,T7.A.S52.L001,T7.B.S53.L001,T7.C.S54.L001,T8.A.S55.L001,T8.B.S56.L001,T8.C.S57.L001,T9.A.S58.L001,T9.B.S59.L001,T9.C.S60.L001,sum.taxonomy
0.040140679,0.042200798,0.030840853,0.00703694,0.013349535,0.005597684,0.018514405,0.022144931,0.007541534,0.056530083,0.021364623,0.015134373,0.02406487,0.031735488,0.023425637,0.052882754,0.043753548,0.056530083,0.028405399,0.010130599,0.018999098,0.00938828,0.028274436,0.013375286,0.056530083,0.021645348,0.008544758,0.056530083,0.007332687,0.018543067,0.035890772,0.038286089,0.020596705,0.056530083,0.056530083,0.00167833,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
9.60E-04,9.79E-06,0.005536116,0.068180582,0.068180582,0.068180582,9.35E-04,0.001660206,0.068180582,0.042885569,0.068180582,0.068180582,0.068180582,0.066797748,0.068180582,0.032831918,0.024316632,0.015699357,0.045243259,0.023444331,0.010795164,0.020307202,0.012794967,0.006920269,0.0159778,0.001627586,0.005232144,0.012670456,0.00584458,0.012284344,0.002483008,0.011134847,0.004526512,0,0.003456279,0.068180582,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus
0.031796516,0.037620508,0.028598993,0.017404511,0.008653856,0.011162815,0.048607031,0.07642919,0.014416992,0.024835084,0.014969924,0.016738739,0.009522144,0.036859255,0.031734172,0.029720044,0.029389492,0.028381146,0.021364135,0.026361139,0.070795685,0.014914975,0.030697582,0.015949053,0.00757967,0.033443079,0.15771554,0.015725457,0.011966928,0.029679603,0.005048875,0.002585726,0.024236126,0.011826391,0.019750136,0.003519488,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
0.179461766,0.046096192,0.066622089,0.026673289,0.008680378,0.005655569,0,0.018408269,0.035898206,0.019944981,0,0,0.021733199,0,0.012136716,0,0.015129173,0.060975663,0.022597976,0.031499767,0.020834951,0,0.035864789,0.036896004,0,0,0.073725208,0.054547898,0,0.008375369,0,0.01623859,0,0.106112874,0.075891081,0,Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
0.051074607,0.05632854,0.235476154,0.05413516,0.031502498,0.037161736,0,0,0,0.043258481,0,0,0,0,0,0,0.05614396,0,0,0.021376849,0,0,0.011156497,0,0,0,0,0.066380402,0.060013396,0,0,0,0.08922661,0.084394556,0.102370555,0,Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax nebulifer
0,0,0.609518356,0,0,0,0,0,0,0.390481644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
0.038739971,0.058465881,8.68E-04,0,0,0,0.052843277,0.337018957,0.019271607,0.018070972,0,0.009065555,0.020750617,0,0,0,0.034793811,0.04522249,0.089448877,0.075872131,0,0,0,0,0,0,0,0,0,0,0.05108153,0,0,0.07536822,0.073118372,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii
0.098403742,0.098403742,0.098403742,0.009712667,0.002072459,0.00224942,0.053029684,0.04955675,0.017479412,0.094852133,0.024047682,9.38E-06,0.001315602,0,0,0.0065108,0.013871503,0.02844259,0.012163447,0.013852345,0.003455443,0.012702067,0.026095644,0.002881474,0.048695095,0.080073781,0.020356533,0.041503676,0.004185081,0.034116628,0.02429568,0.017747067,0.016802412,0.018801046,0.023889471,2.18E-05,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
0,0.215629079,0.131287825,0,0,0,0.653083095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Apogon;Apogon guadalupensis
0.069735934,0.024474411,0,0.067849935,0.015325866,0,0,0,0,0,0,0,0.028707584,0.0726249,0,0,0.082032747,0,0.024476105,0.015482661,0.195977775,0.028337377,0,0.013691341,0.162460105,0,0,0.035066752,0.012297778,0.107507439,0.010556025,0,0.009622379,0.008754425,0.01501846,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Labrisomus;Labrisomus xanti
0.066483525,0.042895082,0.06583892,0.007969384,0.006821977,0.005857247,0.020832211,0.052729491,0.037234892,0.019476621,0.031702762,0.007124165,0.003434328,0.029329046,0.037918212,0.002513343,0.009382943,0.046671158,0.022181776,0.004492916,0.021067184,0,0.023880258,0.02059932,0.018808239,0.015885194,0.028267154,0.015713059,0.124081394,0,0.003660809,0.100548985,0.032408003,0.016662517,0.056178966,0.00134892,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
0.048767028,0.046432526,0.031186943,0.012444924,0.008195171,0.008622112,0.025538328,0.047079529,0.063882531,0.002724883,0.010152816,0,0.036336794,0.024159284,0,0.070938249,0.044972713,0.055162305,0.040891899,0.030623766,0.053039881,0.005350986,0.103307686,0.024228017,0.016766159,0.034899668,0,0.00917574,0.014441098,0.022441973,0.053880899,0.008102708,0.009116502,0.014476224,0.014908077,0.007752584,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,0,0,2.46E-04,0,2.11E-04,1.05E-04,0,0,0,0,1.18E-04,0.035384917,2.31E-04,3.38E-04,0.222216239,0,0,0,0.1923427,0,0,0.073302532,0,0,0,0,0,0,0,0,0,0.404025136,0,0.071314148,1.65E-04,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica
