Species,Species_found.post,Species_found,MPA.pre,Edge.pre,Outside.pre,MPA.post,Edge.post,Outside.post,Habitat,Graham_2004,Native,Likely Species,Domain,Phylum,Class,Order,Family,Genus,Species
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,,Embiotocidae,Embiotoca,Embiotoca jacksoni
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,,Embiotocidae,Rhacochilus,Rhacochilus vacca
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,,Pomacentridae,Chromis,Chromis punctipinnis
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax mordax
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,pelagic-neritic,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Atherinops,Atherinops affinis
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;Cheilopogon pinnatibarbatus,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,pelagic-oceanic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Beloniformes,Exocoetidae,Cheilopogon,Cheilopogon pinnatibarbatus
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi,Outside_edge_species_common,Outside_edge_species_common,0,Edge,Outside,0,Edge,Outside,rockyreef,no,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Blenniidae,Hypsoblennius,Hypsoblennius jenkinsi
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis,Outside_edge_species_common,Outside_edge_species_common,0,Edge,Outside,0,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,Gibbonsia montereyensis
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Clinidae,Heterostichus,Heterostichus rostratus
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon,Outside_edge_species_common,Outside_edge_species_common,0,Edge,Outside,0,Edge,Outside,intertidal,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Gobiesox,Gobiesox rhessodon
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum,Outside_mpa_species_common,Outside_mpa_species_common,MPA,0,Outside,MPA,0,Outside,rockyreef,no,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Rimicola,Rimicola muscarum
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis,Outside_species_unique,Outside_species_unique,0,0,Outside,0,0,Outside,intertidal,no,Yes,0,Eukaryota,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus integripinnis
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi,Outside_edge_species_common,Outside_edge_species_common,0,Edge,Outside,0,Edge,Outside,pelagic-neritic,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola,Seriola lalandi
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,pelagic-oceanic,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Girella,Girella nigricans
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,Sardinops sagax
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,pelagic-neritic,no,Yes,0,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Rhinogobiops;Rhinogobiops nicholsii,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Rhinogobiops,Rhinogobiops nicholsii
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres semicinctus
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Oxyjulis,Oxyjulis californica
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Semicossyphus,Semicossyphus pulcher
Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Brachyistius;Brachyistius frenatus,Outside_mpa_species_common,Outside_mpa_species_common,MPA,0,Outside,MPA,0,Outside,rockyreef,forest,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Embiotocidae,Brachyistius,Brachyistius frenatus
Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Caulolatilus;Caulolatilus princeps,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Malacanthidae,Caulolatilus,Caulolatilus princeps
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus,Common_species,Common_species,MPA,Edge,Outside,MPA,Edge,Outside,rockyreef,ubiquitous,Yes,0,Eukaryota,Chordata,Actinopteri,NA,Pomacentridae,Hypsypops,Hypsypops rubicundus
