Seq_number	New_name	Date_collected	Project	Site	Bio_rep	Tech_rep	Location	Replicate	Control_Type	Sample_Control	MPA	Mean_depth	kelp_a_MeanDensity_sqm	kelp_j_MeanDensity_sqm	Sarg_a_MeanDensity_sqm	Sarg_j_MeanDensity_sqm	Algae_Mean_avg	k	Replicate_per_site	Replicate_per_location	k_location
Blank.090617.S67.L001	Blank_090617	NA	Control	NA	NA	NA	NA	NA	Blank	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank.niskin.S68.L001	Blank_niskin	NA	Control	NA	NA	NA	NA	NA	Blank	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GC.tissue.S69.L001	grass_carp	NA	Control	NA	NA	NA	NA	NA	NA	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GrassPCR.Neg.ctrl.S71.L001	blank_pcr_neg_1	NA	Control	NA	NA	NA	NA	NA	Blank	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Grass.Pos.ctrl.S70.L001	atl_salmon	NA	Control	NA	NA	NA	NA	NA	Pos	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPA.Blank.T.26.S28.L001	blank_mpa	NA	Control	NA	NA	NA	NA	NA	Blank	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPA.PCR.Neg.ctrl.S30.L001	blank_pcr_neg_2	NA	Control	NA	NA	NA	NA	NA	Blank	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPA.Pos.ctrl.S29.L001	mpa_pos	NA	Control	NA	NA	NA	NA	NA	NA	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSC.A.1.S19.L001	Little_Scorpion-A-1	2017-08-08	Scorpion	Edge	A	1	LSC_A	LSC_A1	NA	Sample	outside	11.46	0	0	0.36	4.12	1.12	9	A	1	3
LSC.A.2.S20.L001	Little_Scorpion-A-2	2017-08-08	Scorpion	Edge	A	2	LSC_A	LSC_A2	NA	Sample	outside	11.46	0	0	0.36	4.12	1.12	9	A	2	3
LSC.A.3.S21.L001	Little_Scorpion-A-3	2017-08-08	Scorpion	Edge	A	3	LSC_A	LSC_A3	NA	Sample	outside	11.46	0	0	0.36	4.12	1.12	9	A	3	3
LSC.B.1.S22.L001	Little_Scorpion-B-1	2017-08-08	Scorpion	Edge	B	1	LSC_B	LSC_B1	NA	Sample	outside	11.46	0	0	0.36	4.12	1.12	9	B	1	3
LSC.B.2.S23.L001	Little_Scorpion-B-2	2017-08-08	Scorpion	Edge	B	2	LSC_B	LSC_B2	NA	Sample	outside	11.46	0	0	0.36	4.12	1.12	9	B	2	3
LSC.B.3.S24.L001	Little_Scorpion-B-3	2017-08-08	Scorpion	Edge	B	3	LSC_B	LSC_B3	NA	Sample	outside	11.46	0	0	0.36	4.12	1.12	9	B	3	3
LSC.C.1.S25.L001	Little_Scorpion-C-1	2017-08-08	Scorpion	Edge	C	1	LSC_C	LSC_C1	NA	Sample	outside	11.46	0	0	0.36	4.12	1.12	9	C	1	3
LSC.C.2.S26.L001	Little_Scorpion-C-2	2017-08-08	Scorpion	Edge	C	2	LSC_C	LSC_C2	NA	Sample	outside	11.46	0	0	0.36	4.12	1.12	9	C	2	3
LSC.C.3.S27.L001	Little_Scorpion-C-3	2017-08-08	Scorpion	Edge	C	3	LSC_C	LSC_C3	NA	Sample	outside	11.46	0	0	0.36	4.12	1.12	9	C	3	3
