Samples	Names	Date_collected	Site	Location	Replicate	Sample_Control	MPA	Mean_depth	kelp_a_MeanDensity_sqm	kelp_j_MeanDensity_sqm	Sarg_a_MeanDensity_sqm	Sarg_j_MeanDensity_sqm	Algae_Mean_avg	k	Replicate_per_site	Replicate_per_location	k_location	Rep
Blank.090617.S67.L001	Blank_090617	NA	NA	NA	NA	control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blank.niskin.S68.L001	Blank_niskin	NA	NA	NA	NA	control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GC.tissue.S69.L001	grass_carp	NA	NA	NA	NA	control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GrassPCR.Neg.ctrl.S71.L001	blank_pcr_neg_1	NA	NA	NA	NA	control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Grass.Pos.ctrl.S70.L001	atl_salmon	NA	NA	NA	NA	control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPA.Blank.T.26.S28.L001	blank_mpa	NA	NA	NA	NA	control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPA.PCR.Neg.ctrl.S30.L001	blank_pcr_neg_2	NA	NA	NA	NA	control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPA.Pos.ctrl.S29.L001	mpa_pos	NA	NA	NA	NA	control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSC.A.1.S19.L001	Little_Scorpion-A-1	8-Aug	Edge	Edge_A	Edge_A1	sample	outside	11.46	0	0	0.36	4.12	1.12	9	1	1	3	A
LSC.A.2.S20.L001	Little_Scorpion-A-2	8-Aug	Edge	Edge_A	Edge_A2	sample	outside	11.46	0	0	0.36	4.12	1.12	9	2	2	3	A
LSC.A.3.S21.L001	Little_Scorpion-A-3	8-Aug	Edge	Edge_A	Edge_A3	sample	outside	11.46	0	0	0.36	4.12	1.12	9	3	3	3	A
LSC.B.1.S22.L001	Little_Scorpion-B-1	8-Aug	Edge	Edge_B	Edge_B1	sample	outside	11.46	0	0	0.36	4.12	1.12	9	4	1	3	B
LSC.B.2.S23.L001	Little_Scorpion-B-2	8-Aug	Edge	Edge_B	Edge_B2	sample	outside	11.46	0	0	0.36	4.12	1.12	9	5	2	3	B
LSC.B.3.S24.L001	Little_Scorpion-B-3	8-Aug	Edge	Edge_B	Edge_B3	sample	outside	11.46	0	0	0.36	4.12	1.12	9	6	3	3	B
LSC.C.1.S25.L001	Little_Scorpion-C-1	8-Aug	Edge	Edge_C	Edge_C1	sample	outside	11.46	0	0	0.36	4.12	1.12	9	7	1	3	C
LSC.C.2.S26.L001	Little_Scorpion-C-2	8-Aug	Edge	Edge_C	Edge_C2	sample	outside	11.46	0	0	0.36	4.12	1.12	9	8	2	3	C
LSC.C.3.S27.L001	Little_Scorpion-C-3	8-Aug	Edge	Edge_C	Edge_C3	sample	outside	11.46	0	0	0.36	4.12	1.12	9	9	3	3	C
PedRF.A.1.S10.L001	Pedro_Reef-A-1	9-Aug	Outside	Outside_A	Outside_A1	sample	outside	9.01	0	0	0.1	0.1	0.05	9	1	1	3	A
PedRF.A.2.S11.L001	Pedro_Reef-A-2	9-Aug	Outside	Outside_A	Outside_A2	sample	outside	9.01	0	0	0.1	0.1	0.05	9	2	2	3	A
PedRF.A.3.S12.L001	Pedro_Reef-A-3	9-Aug	Outside	Outside_A	Outside_A3	sample	outside	9.01	0	0	0.1	0.1	0.05	9	3	3	3	A
