LSC_species,PedRF_species,PP_species
Chromis punctipinnis,Chromis punctipinnis,Chromis punctipinnis
Paralabrax clathratus,Oxyjulis californica,Oxyjulis californica
Semicossyphus pulcher,Paralabrax clathratus,Semicossyphus pulcher
Embiotoca jacksoni,Semicossyphus pulcher,Embiotoca jacksoni
Rhacochilus vacca,Halichoeres semicinctus,Rhacochilus vacca
Hypsypops rubicundus,Caulolatilus princeps,Hypsypops rubicundus
Halichoeres semicinctus,Rhinogobiops nicholsii,Halichoeres semicinctus
Alloclinus holderi,Embiotoca jacksoni,Atherinops affinis
Caulolatilus princeps,Gymnothorax mordax,Brachyistius frenatus
Rhinogobiops nicholsii,Hypsypops rubicundus,Caulolatilus princeps
Girella nigricans,Lythrypnus dalli,Rhinogobiops nicholsii
Gymnothorax mordax,Medialuna californiensis,Girella nigricans
Lythrypnus dalli,Rhacochilus vacca,Heterostichus rostratus
Lythrypnus zebra,,Lythrypnus dalli
Medialuna californiensis,,Medialuna californiensis
Oxylebius pictus,,Paralabrax clathratus
Sebastes atrovirens,,Rhacochilus toxotes
Sebastes chrysomelas,,Sebastes atrovirens
,,Sebastes auriculatus 
,,Sebastes serranoides
,,Alloclinus holderi
