T0.A,T0.B,T0.C,T1.A,T1.B,T1.C,T10.A,T10.B,T10.C,T11.A,T11.B,T11.C,T2.A,T2.B,T2.C,T3.A,T3.B,T3.C,T4.A,T4.B,T4.C,T5.A,T5.B,T5.C,T6.A,T6.B,T6.C,T7.A,T7.B,T7.C,T8.A,T8.B,T8.C,T9.A,T9.B,T9.C,sum.taxonomy
0.3562552745336341,0.4367125806963139,0.3270977402229736,0.14372018458756555,0.3452089197290783,0.1839822019580851,0.29156631840958824,0.2702897134588249,0.13800300906585944,0.7154148316390676,0.35047248467186043,1,0.42740799852061395,0.5446456853324144,0.3505499555746194,0.798767078105069,0.6277048360384677,0.860161179287529,0.3756171003656251,0.17307003587504577,0.2621102412981171,0,0.302623200615147,0.29711873826304347,0.847309350780277,0.27944716902977773,0.0038161087768572403,0.8591974094618182,0.17791951441390705,0.3645227204864981,0.8225453509384939,0.546311677921783,0.3360346696768108,0.023160674140472518,0.7821890552402176,0.07094909091243218,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
0,0,0,0,0,0,0.2302171631297592,0.048367337609940185,0,0,0,0,0.5420252815407163,0,0,0,0,0,0.32115502023070913,1,0,0,0.4993481601776311,0,0,0,0,0.5954193381684579,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823971313302507,0,0,0,0,0,1,0,Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus
0.030952562376304307,0.07494377886278177,0.034404541847441614,0.08845163150875018,0.08496175136388479,0.2907938972169533,0,0.02257878288072869,0.04535855698579532,0,0.04297536801380601,0,0.0753493912336247,0.6683968411492686,0.3191567897830231,0.1130687367107835,0.483498950115188,0.5248583594813385,0.130338539749766,0.2186474219097225,1,0.18029662359368254,0.20474111108453147,0.19379349256222383,0,0.2766082947865619,0.9771892059333387,0.09441044821924438,0.09331803233695554,0.3283415993433328,0.051564108256290084,0.07532626134934822,0.24224149399975825,0.11769213319816672,0.06692503616713347,0.09142729420368717,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,0.025408461652025215,0.11342460197117109,0.12974727889450735,0,0,0,0,0,0,0,0,1,0,0.12179568682012099,0,0.013693285767138614,0.31872377060578416,0.7146357633575714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Ctenopharyngodon;Ctenopharyngodon idella
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus alalunga
0.08803256459632174,0.3017376397171958,0.09491668746307183,0.11695775302825953,0.07004883263559578,0.11626141801283611,0.23846827564886122,0.29079055922325864,0.09302964841798671,0.10072299308948385,0.07704890398514312,0.4255551600375624,0.05300213918723936,0.2128792062281851,0.14775759632718688,0.14231099796889135,0.13264728159110467,0.13624286108084208,0.08974492868468445,0.15244534123996448,0.30384484229683756,0.11553163596760796,0.10401286986277151,0.11248280842436072,0.03578333910229682,0.13759330163934128,1,0.07519338351013675,0.09100526457211591,0.18459159725422758,0.03684112927919108,0.011542820408176623,0.12447096858006938,0.1159583209870509,0.08535664663518756,0.046350913931887845,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Oplegnathidae;Oplegnathus;Oplegnathus fasciatus
0.06490720012969148,0.0347077839894737,0.020710449664579186,0,0,0,0,0,0.029772651141655337,0,0.21023341835397966,0.272888970566728,0.160832268612063,0.886907632915302,0,0,0,1,0.40135884632065766,0.5111315174206366,0.6157988181365778,0.35716153371048265,0.14353509210799875,0.09104003574799555,0.6182591917619443,0.20930883458925043,0,0.10173164471342333,0.17498974641121315,0.024883435907411145,0,0.5006865780281675,0.23987856349214248,0.40508286341288957,0,0.04809043227462606,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
0.290075243801498,0,0,0,0,0,0,0,0,0,0,0,0,0.6829550879616263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lythrypnus;Lythrypnus zebra
0.4771538077709444,0.14355870293778353,0.2129844416752266,0.17287049424649023,0.06779028089328867,0.05692943469126223,0,0.0675564548117554,0.2234927946813946,0.07806099691762278,0,0,0.11656558354342597,0,0.05444444009107356,0,0.06583370949816059,0.2808228797396519,0.09143053633057281,0.17516072468480093,0.08627596859045829,0,0.11705984885526012,0.2510422383480514,0,0,0.4501857497867996,0.25069842857614555,0,0.05024825806862019,0,0.06981920840642096,0,1,0.31488926285467367,0,Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
