T0.A,T0.B,T0.C,T1.A,T1.B,T1.C,T10.A,T10.B,T10.C,T11.A,T11.B,T11.C,T2.A,T2.B,T2.C,T3.A,T3.B,T3.C,T4.A,T4.B,T4.C,T5.A,T5.B,T5.C,T6.A,T6.B,T6.C,T7.A,T7.B,T7.C,T8.A,T8.B,T8.C,T9.A,T9.B,T9.C,sum.taxonomy
33877,20573,14614,5299,15986,20359,34685,26952,5678,30590,12200,20383,38016,37396,20383,29459,27938,37100,10972,20308,7953,0,55810,11187,112803,12136,160,34989,7537,14171,16108,10687,6319,407,57130,3979,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
0,0,0,0,0,0,1448,255,0,0,0,0,2549,0,0,0,0,0,496,6204,0,0,4869,0,0,0,0,1282,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1674,0,Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus
787,944,411,872,1052,8604,0,602,499,0,400,0,1792,12271,4962,1115,5754,6053,1018,6860,8113,1195,10096,1951,0,3212,10955,1028,1057,3413,270,394,1218,553,1307,1371,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,89,499,1364,0,0,0,0,0,0,0,0,5524,0,515,0,38,3553,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Ctenopharyngodon;Ctenopharyngodon idella
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus alalunga
1520,2581,770,783,589,2336,5151,5265,695,782,487,1575,856,2654,1560,953,1072,1067,476,3248,1674,520,3483,769,865,1085,7613,556,700,1303,131,41,425,370,1132,472,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
0,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Oplegnathidae;Oplegnathus;Oplegnathus fasciatus
1174,311,176,0,0,0,0,0,233,0,1392,1058,2721,11583,0,0,0,8204,2230,11408,3554,1684,5035,652,15656,1729,0,788,1410,184,0,1863,858,1354,0,513,Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
10,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lythrypnus;Lythrypnus zebra
17142,2555,3595,2408,1186,2380,0,2545,3474,1261,0,0,3917,0,1196,0,1107,4576,1009,7765,989,0,8156,3571,0,0,7131,3857,0,738,0,516,0,6639,8689,0,Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
0,0,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,0,0,0,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Luvaridae;Luvarus;Luvarus imperialis
0,3641,832,3557,449,3872,1546,13874,2234,0,0,0,0,2470,828,985,1169,0,0,0,665,8015,112917,3300,0,3705,0,196,152,0,0,1097,0,0,6611,0,Eukaryota;Chordata;Actinopteri;;;;
